Observation Name, Region, Functional, Variable, Time, Value
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 7.0000000000000000e+01, 2.4841825738986532e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+01, 2.4841036994402105e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.1000000000000000e+02, 2.4839942875965399e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4806090396105236e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4793031966101547e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4780695732587922e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.2000000000000000e+03, 2.4721747778330673e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.4000000000000000e+03, 2.4706039930064970e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.0000000000000000e+03, 2.4667586741536489e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.6000000000000000e+03, 2.4637056875332168e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 3.2000000000000000e+03, 2.4612731279307298e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+03, 2.4585948599937290e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4558478141821190e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4497839336118501e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4469278963580044e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.2000000000000000e+04, 2.4445330315267676e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.8000000000000000e+04, 2.4391946722007846e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.2000000000000000e+04, 2.4365295075457782e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4332206020018682e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4302833807564012e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4275380983391279e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.1000000000000000e+04, 2.4252274383850044e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 6.1000000000000000e+04, 2.4228175352660983e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 7.1000000000000000e+04, 2.4207621455438100e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4189807233059691e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4175582275345459e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4161610319370261e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.4105268164051839e+05
