# Time          5.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   7.350000E+01   2.781136E-01   7.866119E-02  -2.674924E+01   3.805984E-07
   7.450000E+01   2.779404E-01   4.010095E-02  -2.671347E+01   3.043220E-07
   7.550000E+01   2.778109E-01   2.017866E-02  -2.667450E+01   2.446489E-07
   7.650000E+01   2.777122E-01   1.053509E-02  -2.663549E+01   1.985981E-07
   7.750000E+01   2.776360E-01   5.751708E-03  -2.660145E+01   1.640234E-07
   7.850000E+01   2.775770E-01   3.378636E-03  -2.658071E+01   1.397639E-07
   7.950000E+01   2.775314E-01   2.392954E-03  -2.658785E+01   1.260734E-07
   8.050000E+01   2.774961E-01   2.429121E-03  -2.664949E+01   1.244309E-07
   8.150000E+01   2.774689E-01   3.136160E-03  -2.681151E+01   1.334120E-07
   8.250000E+01   2.774484E-01   3.594067E-03  -2.712118E+01   1.464556E-07
   8.350000E+01   2.774332E-01   3.173514E-03  -2.754331E+01   1.585830E-07
   8.450000E+01   2.774222E-01   2.353352E-03  -2.796751E+01   1.683189E-07
   8.550000E+01   2.774142E-01   1.601214E-03  -2.833001E+01   1.757196E-07
   8.650000E+01   2.774084E-01   1.023112E-03  -2.861925E+01   1.812263E-07
   8.750000E+01   2.774042E-01   6.217968E-04  -2.884271E+01   1.852891E-07
   8.850000E+01   2.774012E-01   3.645199E-04  -2.901235E+01   1.882761E-07
   8.950000E+01   2.773989E-01   2.085255E-04  -2.913983E+01   1.904682E-07
   9.050000E+01   2.773973E-01   1.172983E-04  -2.923501E+01   1.920747E-07
   9.150000E+01   2.773961E-01   6.516183E-05  -2.930577E+01   1.932501E-07
   9.250000E+01   2.773953E-01   3.581429E-05  -2.935818E+01   1.941086E-07
   9.350000E+01   2.773946E-01   1.947187E-05  -2.939689E+01   1.947341E-07
   9.450000E+01   2.773942E-01   1.044824E-05  -2.942540E+01   1.951889E-07
   9.550000E+01   2.773938E-01   5.502037E-06  -2.944633E+01   1.955186E-07
   9.650000E+01   2.773936E-01   2.809094E-06  -2.946166E+01   1.957570E-07
   9.750000E+01   2.773934E-01   1.352437E-06  -2.947285E+01   1.959289E-07
   9.850000E+01   2.773932E-01   5.695239E-07  -2.948099E+01   1.960524E-07
   9.950000E+01   2.773932E-01   1.513817E-07  -2.948690E+01   1.961410E-07
