# Time          1.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   7.350000E+01   4.037107E-01  -5.439037E+00  -2.761618E+01   6.652244E-05
   7.450000E+01   4.022990E-01  -5.411559E+00  -2.760605E+01   6.531487E-05
   7.550000E+01   4.007787E-01  -5.381962E+00  -2.759517E+01   6.404231E-05
   7.650000E+01   3.991501E-01  -5.350175E+00  -2.758352E+01   6.270780E-05
   7.750000E+01   3.974144E-01  -5.316132E+00  -2.757110E+01   6.131492E-05
   7.850000E+01   3.955733E-01  -5.279772E+00  -2.755791E+01   5.986774E-05
   7.950000E+01   3.936296E-01  -5.241041E+00  -2.754395E+01   5.837076E-05
   8.050000E+01   3.915865E-01  -5.199890E+00  -2.752925E+01   5.682885E-05
   8.150000E+01   3.894481E-01  -5.156274E+00  -2.751380E+01   5.524718E-05
   8.250000E+01   3.872191E-01  -5.110157E+00  -2.749762E+01   5.363119E-05
   8.350000E+01   3.849047E-01  -5.061507E+00  -2.748075E+01   5.198647E-05
   8.450000E+01   3.825108E-01  -5.010298E+00  -2.746322E+01   5.031873E-05
   8.550000E+01   3.800438E-01  -4.956510E+00  -2.744506E+01   4.863371E-05
   8.650000E+01   3.775102E-01  -4.900128E+00  -2.742630E+01   4.693715E-05
   8.750000E+01   3.749171E-01  -4.841144E+00  -2.740698E+01   4.523470E-05
   8.850000E+01   3.722719E-01  -4.779555E+00  -2.738715E+01   4.353189E-05
   8.950000E+01   3.695822E-01  -4.715361E+00  -2.736687E+01   4.183404E-05
   9.050000E+01   3.668556E-01  -4.648570E+00  -2.734620E+01   4.014630E-05
   9.150000E+01   3.640998E-01  -4.579193E+00  -2.732518E+01   3.847352E-05
   9.250000E+01   3.613228E-01  -4.507245E+00  -2.730386E+01   3.682029E-05
   9.350000E+01   3.585322E-01  -4.432745E+00  -2.728233E+01   3.519086E-05
   9.450000E+01   3.557358E-01  -4.355716E+00  -2.726063E+01   3.358916E-05
   9.550000E+01   3.529410E-01  -4.276185E+00  -2.723885E+01   3.201876E-05
   9.650000E+01   3.501552E-01  -4.194180E+00  -2.721704E+01   3.048289E-05
   9.750000E+01   3.473855E-01  -4.109732E+00  -2.719525E+01   2.898440E-05
   9.850000E+01   3.446387E-01  -4.022876E+00  -2.717357E+01   2.752580E-05
   9.950000E+01   3.419213E-01  -3.933646E+00  -2.715206E+01   2.610921E-05
