Observation Name, Region, Functional, Variable, Time, Value
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.3271359485081059e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.3271189345950158e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.3270936529050029e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3270560925468744e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.3270058711393767e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 4.6491900000000000e+05, 1.3269420547317173e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 5.8201300000000000e+05, 1.3268643824203834e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 7.2838000000000000e+05, 1.3267715247160960e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 9.1133900000000000e+05, 1.3266677626887674e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 1.1400380000000000e+06, 1.3265525441432775e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 1.4259120000000000e+06, 1.3264270882526345e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 1.7832540000000000e+06, 1.3262884024374953e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 2.2299310000000000e+06, 1.3261473619957985e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 2.7882780000000000e+06, 1.3259996277906103e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 3.4862120000000000e+06, 1.3258462710950179e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 4.3586290000000000e+06, 1.3256882480472438e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 5.4491500000000000e+06, 1.3255202475144484e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 6.8123020000000000e+06, 1.3253570558020542e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 8.5162410000000000e+06, 1.3251908417579045e+06
Pressure 02, Obs_r40, Observation Data: Point, Aqueous pressure, 8.6400000000000000e+06, 1.3251789618399404e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 1.3271562500000000e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 1.3271562500000000e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.9440000000000000e+03, 1.3271562499999998e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.2940000000000000e+03, 1.3271562499999998e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.9810000000000000e+03, 1.3271562499999998e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 7.0900000000000000e+03, 1.3271562499999998e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 9.7270000000000000e+03, 1.3271562499999998e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.3023000000000000e+04, 1.3271562499999995e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.7143000000000000e+04, 1.3271562499999357e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.2293000000000000e+04, 1.3271562499971036e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.8730000000000000e+04, 1.3271562499872081e+06
Pressure 03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.6777000000000000e+04, 1.3271562498631973e+06
