Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
obl 37, Top x=290 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3292566291588956e-01
obl 38, Top x=390 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3027659553694823e-01
obl 39, Top x=490 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2782815967857122e-01
obl 40, Top x=590 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2556791408713913e-01
obl 41, Top x=690 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2345394391692620e-01
obl 42, Top x=790 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2145534342297153e-01
obl 43, Top x=890 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1954006755204707e-01
obl 44, Top x=990 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1763400260282383e-01
obl 45, Left z=1 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 46, Left z=99 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 47, Left z=101 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 48, Left z=109 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 49, Left z=111 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 50, Left z=121 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 51, Left z=129 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 52, Left z=131 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 53, Left z=133 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 54, Left z=135 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 55, Left z=137 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 56, Left z=139 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 57, Left z=141 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 58, Left z=143 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 59, Left z=145 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 60, Left z=147 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 61, Left z=149 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 62, Left z=151 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 63, Left z=153 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 64, Left z=155 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 65, Left z=157 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 66, Left z=159 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 67, Left z=161 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 68, Left z=163 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 69, Left z=165 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 70, Left z=167 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 71, Left z=169 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 72, Left z=171 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 4.6237210988872535e-01
obl 73, Left z=173 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 3.2781366576995946e-01
obl 74, Left z=175 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.7542300212712928e-01
obl 75, Left z=177 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.4546833970876278e-01
obl 76, Left z=179 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.2541444329727067e-01
obl 77, Left z=181 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.1076060537283201e-01
obl 78, Left z=183 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9943653731703287e-01
obl 79, Left z=185 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9033828922049492e-01
obl 80, Left z=187 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.8281574943623194e-01
obl 81, Left z=189 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7645761941693977e-01
obl 82, Left z=191 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7098915950189331e-01
obl 83, Left z=193 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6621884962881051e-01
obl 84, Left z=195 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6200850588202306e-01
obl 85, Left z=197 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5825555701746818e-01
obl 86, Left z=199 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5488203198433462e-01
obl 87, Left z=201 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5182744656440783e-01
obl 88, Left z=203 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4904405505353435e-01
obl 89, Left z=205 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4649358995738079e-01
obl 90, Left z=207 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4414496788706865e-01
obl 91, Left z=209 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4197264029054762e-01
obl 92, Middle z=1 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 93, Middle z=99 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 94, Middle z=101 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 95, Middle z=109 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 96, Middle z=111 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 97, Middle z=121 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 98, Middle z=129 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 99, Middle z=131 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 100, Middle z=133 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 101, Middle z=135 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 102, Middle z=137 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 103, Middle z=139 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 104, Middle z=141 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 105, Middle z=143 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 106, Middle z=145 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 107, Middle z=147 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 108, Middle z=149 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 109, Middle z=151 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 110, Middle z=153 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 4.8287782891835063e-01
obl 111, Middle z=155 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 3.3348833306894121e-01
obl 112, Middle z=157 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.7831110681773796e-01
obl 113, Middle z=159 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.4729266602963071e-01
obl 114, Middle z=161 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.2670253254374759e-01
obl 115, Middle z=163 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.1173410128690651e-01
obl 116, Middle z=165 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.0020683882340856e-01
obl 117, Middle z=167 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9096831081760363e-01
obl 118, Middle z=169 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.8334407178154596e-01
obl 119, Middle z=171 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7690939796684477e-01
obl 120, Middle z=173 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7138159490111415e-01
obl 121, Middle z=175 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6656415828971027e-01
obl 122, Middle z=177 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6231563765162590e-01
obl 123, Middle z=179 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5853124022729731e-01
obl 124, Middle z=181 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5513143661946927e-01
obl 125, Middle z=183 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5205462028513247e-01
obl 126, Middle z=185 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4925221868220523e-01
obl 127, Middle z=187 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4668534303348252e-01
obl 128, Middle z=189 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4432243496408553e-01
obl 129, Middle z=191 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4213757717299735e-01
obl 130, Middle z=193 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4010925733304513e-01
obl 131, Middle z=195 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3821944808081424e-01
obl 132, Middle z=197 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3645291173569471e-01
obl 133, Middle z=199 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3479666757706388e-01
obl 134, Middle z=201 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3323957855595847e-01
obl 135, Middle z=203 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3177202700793322e-01
obl 136, Middle z=205 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3038565754958437e-01
obl 137, Middle z=207 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2907317129190499e-01
obl 138, Middle z=209 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2782815967857122e-01
obl 139, Right z=1 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 140, Right z=99 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 141, Right z=101 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 142, Right z=109 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 143, Right z=111 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 144, Right z=121 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 145, Right z=129 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 146, Right z=131 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 7.1075465215932188e-01
obl 147, Right z=133 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 3.7312720575214220e-01
obl 148, Right z=135 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.9657370825436913e-01
obl 149, Right z=137 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.5832381902303175e-01
obl 150, Right z=139 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.3428763803748201e-01
obl 151, Right z=141 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.1736351567789197e-01
obl 152, Right z=143 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.0460045530921375e-01
obl 153, Right z=145 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9452194059472272e-01
obl 154, Right z=147 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.8629578416002948e-01
obl 155, Right z=149 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7941216597077417e-01
obl 156, Right z=151 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7353882928924697e-01
obl 157, Right z=153 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6844863598497894e-01
obl 158, Right z=155 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6398027995832629e-01
obl 159, Right z=157 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6001558860513623e-01
obl 160, Right z=159 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5646571925764813e-01
obl 161, Right z=161 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5326240215721801e-01
obl 162, Right z=163 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5035218380894913e-01
obl 163, Right z=165 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4769252612739039e-01
obl 164, Right z=167 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4524909294104324e-01
obl 165, Right z=169 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4299381879200812e-01
obl 166, Right z=171 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4090350655144965e-01
obl 167, Right z=173 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3895879069427555e-01
obl 168, Right z=175 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3714335856177784e-01
obl 169, Right z=177 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3544335695959064e-01
obl 170, Right z=179 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3384693407981130e-01
obl 171, Right z=181 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3234388169624742e-01
obl 172, Right z=183 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3092535266231162e-01
obl 173, Right z=185 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2958363565578285e-01
obl 174, Right z=187 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2831197393551924e-01
obl 175, Right z=189 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2710441828675079e-01
obl 176, Right z=191 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2595570677912216e-01
obl 177, Right z=193 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2486116573995654e-01
obl 178, Right z=195 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2381662765250702e-01
obl 179, Right z=197 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2281836266050265e-01
obl 180, Right z=199 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2186302108968571e-01
obl 181, Right z=201 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2094758494982068e-01
obl 182, Right z=203 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2006932680333543e-01
obl 183, Right z=205 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1922577471263021e-01
obl 184, Right z=207 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1841468223131189e-01
obl 185, Right z=209 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1763400260282383e-01
obl 186, Middle z=1 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 5.2148409048594523e+05
obl 187, Middle z=99 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2909933234643066e+05
obl 188, Middle z=101 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2609836060637300e+05
obl 189, Middle z=109 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2595740929107039e+05
obl 190, Middle z=111 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2295642658019828e+05
obl 191, Middle z=121 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.9312259210939438e+05
obl 192, Middle z=129 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.6925509100230024e+05
obl 193, Middle z=131 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.6328814960878639e+05
obl 194, Middle z=133 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.5732117971023990e+05
obl 195, Middle z=135 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.5135418006025834e+05
obl 196, Middle z=137 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.4538714928185483e+05
obl 197, Middle z=139 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.3942008586276817e+05
obl 198, Middle z=141 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.3345298815031332e+05
obl 199, Middle z=143 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.2748585434575350e+05
obl 200, Middle z=145 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.2151868249817569e+05
obl 201, Middle z=147 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.1555147049784995e+05
obl 202, Middle z=149 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.0958421606904519e+05
obl 203, Middle z=151 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.0361691676228520e+05
obl 204, Middle z=153 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 9.7705975156182205e+04
obl 205, Middle z=155 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 9.1743076257588677e+04
obl 206, Middle z=157 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 8.5778399392011386e+04
obl 207, Middle z=159 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 7.9813228653842234e+04
obl 208, Middle z=161 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 7.3847851917688531e+04
obl 209, Middle z=163 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 6.7882373994110923e+04
obl 210, Middle z=165 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 6.1916842356092340e+04
obl 211, Middle z=167 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 5.5951280739157970e+04
obl 212, Middle z=169 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.9985701175481016e+04
obl 213, Middle z=171 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.4020109156995633e+04
obl 214, Middle z=173 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.8054506135295422e+04
obl 215, Middle z=175 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.2088890847975028e+04
obl 216, Middle z=177 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.6123260072587451e+04
obl 217, Middle z=179 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.0157609078283269e+04
obl 218, Middle z=181 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.4191931907055980e+04
obl 219, Middle z=183 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 8.2262215535647138e+03
obl 220, Middle z=185 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2604700816639906e+03
obl 221, Middle z=187 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -3.7053313002791633e+03
obl 222, Middle z=189 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -9.6711921919551169e+03
obl 223, Middle z=191 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.5637122973256333e+04
obl 224, Middle z=193 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -2.1603134790666812e+04
obl 225, Middle z=195 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -2.7569239554355769e+04
obl 226, Middle z=197 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -3.3535449943613130e+04
obl 227, Middle z=199 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -3.9501779418979888e+04
obl 228, Middle z=201 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -4.5468242239947846e+04
obl 229, Middle z=203 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -5.1434853487404718e+04
obl 230, Middle z=205 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -5.7401629090258306e+04
obl 231, Middle z=207 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -6.3368585855826415e+04
obl 232, Middle z=209 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -6.9335741503685538e+04
