Observation Name, Region, Functional, Variable, Time, Value
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.2334526218958537e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.6491900000000000e+05, 1.2323091874571289e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.8201300000000000e+05, 1.2309817196948971e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 7.2838000000000000e+05, 1.2294937556211965e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 9.1133900000000000e+05, 1.2278865765937513e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.1400380000000000e+06, 1.2262191692750072e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.4259120000000000e+06, 1.2245651677109576e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.7832540000000000e+06, 1.2230054893594584e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.2299310000000000e+06, 1.2216163326442169e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.7882780000000000e+06, 1.2204546631624838e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.4862120000000000e+06, 1.2195461885663851e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.3586290000000000e+06, 1.2188824319352517e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.4491500000000000e+06, 1.2184325995602687e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 6.8123020000000000e+06, 1.2181726375277627e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.5162410000000000e+06, 1.2181291612186499e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.6400000000000000e+06, 1.2181274242967947e+06
