Observation Name, Region, Functional, Variable, Time, Value
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3275614946995305e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.3275489365976746e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.6491900000000000e+05, 1.3275287154076966e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.8201300000000000e+05, 1.3274986086442363e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 7.2838000000000000e+05, 1.3274567198827888e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 9.1133900000000000e+05, 1.3274017155219738e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.1400380000000000e+06, 1.3273329372317037e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.4259120000000000e+06, 1.3272503872136869e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 1.7832540000000000e+06, 1.3271546218984432e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.2299310000000000e+06, 1.3270465996418542e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 2.7882780000000000e+06, 1.3269275234840079e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 3.4862120000000000e+06, 1.3267987050741995e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 4.3586290000000000e+06, 1.3266614597303958e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 5.4491500000000000e+06, 1.3265170350531493e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 6.8123020000000000e+06, 1.3263665686993150e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.5162410000000000e+06, 1.3262110686223235e+06
output03, Obs_r60, Observation Data: Point, Aqueous pressure, 8.6400000000000000e+06, 1.3261999409192000e+06
