# Time          1.0000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   3.150000E+01   6.360000E-03   6.359930E-03   6.359981E-03   1.085096E-19   9.117515E-17   7.660986E-14   4.352038E-18   4.352038E-18   1.033427E-11   7.005897E-08   1.861553E-08
   3.250000E+01   6.360000E-03   6.359989E-03   6.359997E-03   1.704518E-20   1.432482E-17   1.203863E-14   6.840133E-19   6.840133E-19   1.623963E-12   1.100528E-08   2.924753E-09
   3.350000E+01   6.360000E-03   6.359998E-03   6.360000E-03   2.782737E-21   2.339037E-18   1.966083E-15   1.117292E-19   1.117292E-19   2.652173E-13   1.796686E-09   4.775701E-10
   3.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   5.543767E-22   4.660637E-19   3.918191E-16   2.227029E-20   2.227029E-20   5.285494E-14   3.579358E-10   9.515802E-11
   3.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   2.060011E-22   1.732144E-19   1.456460E-16   8.279666E-21   8.279666E-21   1.964710E-14   1.330055E-10   3.536585E-11
   3.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.515288E-22   1.274333E-19   1.071694E-16   6.093387E-21   6.093387E-21   1.445676E-14   9.783524E-11   2.601856E-11
   3.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.430092E-22   1.202887E-19   1.011780E-16   5.753699E-21   5.753699E-21   1.364854E-14   9.233451E-11   2.455982E-11
   3.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.416734E-22   1.191854E-19   1.002669E-16   5.702856E-21   5.702856E-21   1.352564E-14   9.147208E-11   2.433454E-11
   3.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414605E-22   1.190267E-19   1.001506E-16   5.697219E-21   5.697219E-21   1.350995E-14   9.133460E-11   2.430214E-11
   4.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414230E-22   1.190161E-19   1.001594E-16   5.698719E-21   5.698719E-21   1.351113E-14   9.131039E-11   2.429998E-11
   4.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414128E-22   1.190293E-19   1.001887E-16   5.701433E-21   5.701433E-21   1.351509E-14   9.130379E-11   2.430267E-11
   4.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414066E-22   1.190470E-19   1.002230E-16   5.704479E-21   5.704479E-21   1.351971E-14   9.129980E-11   2.430629E-11
   4.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414002E-22   1.190662E-19   1.002598E-16   5.707754E-21   5.707754E-21   1.352468E-14   9.129566E-11   2.431020E-11
   4.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413929E-22   1.190868E-19   1.002998E-16   5.711317E-21   5.711317E-21   1.353007E-14   9.129093E-11   2.431442E-11
   4.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413850E-22   1.191101E-19   1.003445E-16   5.715292E-21   5.715292E-21   1.353610E-14   9.128587E-11   2.431916E-11
   4.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413768E-22   1.191369E-19   1.003955E-16   5.719818E-21   5.719818E-21   1.354298E-14   9.128058E-11   2.432464E-11
   4.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413687E-22   1.191689E-19   1.004552E-16   5.725082E-21   5.725082E-21   1.355103E-14   9.127533E-11   2.433116E-11
   4.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413585E-22   1.192055E-19   1.005243E-16   5.731198E-21   5.731198E-21   1.356035E-14   9.126872E-11   2.433865E-11
   4.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413451E-22   1.192477E-19   1.006049E-16   5.738367E-21   5.738367E-21   1.357123E-14   9.126010E-11   2.434726E-11
   5.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413300E-22   1.192985E-19   1.007015E-16   5.746937E-21   5.746937E-21   1.358426E-14   9.125036E-11   2.435764E-11
   5.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413131E-22   1.193603E-19   1.008178E-16   5.757245E-21   5.757245E-21   1.359995E-14   9.123942E-11   2.437025E-11
   5.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412920E-22   1.194337E-19   1.009569E-16   5.769596E-21   5.769596E-21   1.361872E-14   9.122579E-11   2.438523E-11
   5.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412658E-22   1.195211E-19   1.011235E-16   5.784412E-21   5.784412E-21   1.364118E-14   9.120889E-11   2.440308E-11
   5.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.412340E-22   1.196255E-19   1.013230E-16   5.802196E-21   5.802196E-21   1.366810E-14   9.118834E-11   2.442439E-11
   5.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411946E-22   1.197492E-19   1.015610E-16   5.823464E-21   5.823464E-21   1.370020E-14   9.116289E-11   2.444965E-11
   5.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.411473E-22   1.198963E-19   1.018448E-16   5.848874E-21   5.848874E-21   1.373849E-14   9.113237E-11   2.447969E-11
   5.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.410918E-22   1.200715E-19   1.021828E-16   5.879163E-21   5.879163E-21   1.378408E-14   9.109658E-11   2.451545E-11
   5.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.410268E-22   1.202787E-19   1.025830E-16   5.915104E-21   5.915104E-21   1.383807E-14   9.105460E-11   2.455776E-11
