# Time          1.5000E+00
# Units: Weight % Component
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.450000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735710E+01   0.000000E+00   0.000000E+00
   5.550000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735710E+01   0.000000E+00   0.000000E+00
   5.650000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735710E+01   0.000000E+00   0.000000E+00
   5.750000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.850000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.950000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.050000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.150000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.250000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.350000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.450000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.550000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.650000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.750000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.850000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.950000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.050000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.150000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.250000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.350000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.450000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.550000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.650000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.750000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.850000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.950000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.050000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.150000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.250000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.350000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.450000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.550000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.650000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.750000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.850000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.950000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.050000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.150000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.250000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.350000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.450000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.550000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.650000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.750000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.850000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.950000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
