# Time          5.0000E-01
# Units: M^2 mineral/m^3 porous medium
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   1.000000E+02   9.999999E+01   1.857760E+00   6.360000E+03
   1.500000E+00   1.000000E+02   9.999999E+01   5.241943E-03   6.360000E+03
   2.500000E+00   1.000000E+02   9.999999E+01   4.494878E-03   6.360000E+03
   3.500000E+00   1.000000E+02   9.999999E+01   3.958232E-03   6.360000E+03
   4.500000E+00   1.000000E+02   9.999999E+01   3.411899E-03   6.360000E+03
   5.500000E+00   1.000000E+02   9.999999E+01   2.815083E-03   6.360000E+03
   6.500000E+00   1.000000E+02   9.999999E+01   2.153540E-03   6.360000E+03
   7.500000E+00   1.000000E+02   9.999999E+01   1.344430E-03   6.360000E+03
   8.500000E+00   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   9.500000E+00   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.050000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.150000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.250000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.350000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.450000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.550000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.650000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.750000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.850000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   1.950000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.050000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.150000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.250000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.350000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.450000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.550000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.650000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.750000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.850000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   2.950000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.050000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.150000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.250000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.350000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.450000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.550000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.650000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.750000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.850000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   3.950000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   4.050000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   4.150000E+01   1.000000E+02   9.999999E+01   0.000000E+00   6.360000E+03
   4.250000E+01   1.000000E+02   1.000000E+02   0.000000E+00   6.360000E+03
   4.350000E+01   1.000000E+02   1.000000E+02   0.000000E+00   6.360000E+03
   4.450000E+01   1.000000E+02   1.000000E+02   0.000000E+00   6.360000E+03
   4.550000E+01   1.000000E+02   1.000000E+02   0.000000E+00   6.360000E+03
   4.650000E+01   1.000000E+02   1.000000E+02   0.000000E+00   6.360000E+03
