# Time          1.5000E+00
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   1.050000E+01   2.924438E+00  -2.911302E+00  -8.629891E+00  -4.548829E+00  -3.596019E+00  -5.117002E+00  -2.000000E+00  -1.007477E+01  -1.000358E+01  -1.569171E+01  -1.646822E+01  -2.608121E+01  -2.215294E+01  -9.398711E+00  -5.938452E+00  -1.583454E+01  -6.644560E+00  -4.394328E+00  -5.168267E+00  -1.232484E+01  -1.105288E+01  -1.795519E+01  -8.547355E+00  -6.646714E+00  -9.637535E+00  -1.560650E+01  -2.644811E+01  -5.095415E+00  -8.338842E+00  -5.416874E+00  -7.442380E+00  -8.838639E+00
   1.150000E+01   2.924507E+00  -2.911370E+00  -8.629833E+00  -4.547860E+00  -3.595910E+00  -5.117076E+00  -2.000000E+00  -1.007479E+01  -1.000366E+01  -1.569167E+01  -1.646812E+01  -2.608097E+01  -2.215278E+01  -9.397615E+00  -5.937442E+00  -1.583331E+01  -6.643528E+00  -4.394344E+00  -5.168353E+00  -1.232368E+01  -1.105281E+01  -1.795506E+01  -8.547537E+00  -6.646829E+00  -9.637477E+00  -1.560637E+01  -2.644791E+01  -5.095511E+00  -8.339002E+00  -5.416903E+00  -7.442390E+00  -8.838597E+00
   1.250000E+01   2.924576E+00  -2.911437E+00  -8.629775E+00  -4.546892E+00  -3.595801E+00  -5.117150E+00  -2.000000E+00  -1.007480E+01  -1.000374E+01  -1.569163E+01  -1.646801E+01  -2.608073E+01  -2.215262E+01  -9.396522E+00  -5.936434E+00  -1.583208E+01  -6.642499E+00  -4.394360E+00  -5.168439E+00  -1.232252E+01  -1.105274E+01  -1.795492E+01  -8.547719E+00  -6.646943E+00  -9.637420E+00  -1.560624E+01  -2.644770E+01  -5.095607E+00  -8.339162E+00  -5.416932E+00  -7.442400E+00  -8.838555E+00
   1.350000E+01   2.924645E+00  -2.911505E+00  -8.629717E+00  -4.545927E+00  -3.595691E+00  -5.117224E+00  -2.000000E+00  -1.007482E+01  -1.000382E+01  -1.569159E+01  -1.646791E+01  -2.608048E+01  -2.215246E+01  -9.395430E+00  -5.935429E+00  -1.583085E+01  -6.641472E+00  -4.394375E+00  -5.168525E+00  -1.232136E+01  -1.105267E+01  -1.795479E+01  -8.547901E+00  -6.647058E+00  -9.637363E+00  -1.560612E+01  -2.644750E+01  -5.095703E+00  -8.339322E+00  -5.416960E+00  -7.442410E+00  -8.838513E+00
   1.450000E+01   2.924713E+00  -2.911572E+00  -8.629659E+00  -4.544964E+00  -3.595582E+00  -5.117298E+00  -2.000000E+00  -1.007484E+01  -1.000390E+01  -1.569155E+01  -1.646781E+01  -2.608024E+01  -2.215230E+01  -9.394341E+00  -5.934426E+00  -1.582962E+01  -6.640446E+00  -4.394391E+00  -5.168611E+00  -1.232020E+01  -1.105260E+01  -1.795465E+01  -8.548083E+00  -6.647173E+00  -9.637305E+00  -1.560599E+01  -2.644730E+01  -5.095799E+00  -8.339482E+00  -5.416989E+00  -7.442420E+00  -8.838472E+00
   1.550000E+01   2.924782E+00  -2.911639E+00  -8.629601E+00  -4.544003E+00  -3.595473E+00  -5.117372E+00  -2.000000E+00  -1.007485E+01  -1.000397E+01  -1.569151E+01  -1.646770E+01  -2.608000E+01  -2.215213E+01  -9.393253E+00  -5.933424E+00  -1.582840E+01  -6.639423E+00  -4.394407E+00  -5.168697E+00  -1.231905E+01  -1.105253E+01  -1.795452E+01  -8.548265E+00  -6.647288E+00  -9.637248E+00  -1.560586E+01  -2.644710E+01  -5.095895E+00  -8.339642E+00  -5.417018E+00  -7.442430E+00  -8.838430E+00
   1.650000E+01   2.924851E+00  -2.911707E+00  -8.629543E+00  -4.543044E+00  -3.595364E+00  -5.117446E+00  -2.000000E+00  -1.007487E+01  -1.000405E+01  -1.569147E+01  -1.646760E+01  -2.607976E+01  -2.215197E+01  -9.392168E+00  -5.932425E+00  -1.582717E+01  -6.638402E+00  -4.394422E+00  -5.168784E+00  -1.231790E+01  -1.105246E+01  -1.795438E+01  -8.548447E+00  -6.647403E+00  -9.637190E+00  -1.560573E+01  -2.644690E+01  -5.095991E+00  -8.339803E+00  -5.417047E+00  -7.442440E+00  -8.838388E+00
   1.750000E+01   2.924920E+00  -2.911774E+00  -8.629485E+00  -4.542087E+00  -3.595255E+00  -5.117521E+00  -2.000000E+00  -1.007489E+01  -1.000413E+01  -1.569143E+01  -1.646749E+01  -2.607951E+01  -2.215181E+01  -9.391085E+00  -5.931428E+00  -1.582595E+01  -6.637384E+00  -4.394438E+00  -5.168870E+00  -1.231675E+01  -1.105239E+01  -1.795425E+01  -8.548629E+00  -6.647518E+00  -9.637133E+00  -1.560560E+01  -2.644670E+01  -5.096087E+00  -8.339963E+00  -5.417075E+00  -7.442450E+00  -8.838346E+00
   1.850000E+01   2.924989E+00  -2.911842E+00  -8.629427E+00  -4.541132E+00  -3.595146E+00  -5.117595E+00  -2.000000E+00  -1.007490E+01  -1.000421E+01  -1.569139E+01  -1.646739E+01  -2.607927E+01  -2.215165E+01  -9.390004E+00  -5.930434E+00  -1.582473E+01  -6.636367E+00  -4.394453E+00  -5.168956E+00  -1.231560E+01  -1.105232E+01  -1.795411E+01  -8.548811E+00  -6.647632E+00  -9.637076E+00  -1.560548E+01  -2.644650E+01  -5.096183E+00  -8.340123E+00  -5.417104E+00  -7.442459E+00  -8.838305E+00
   1.950000E+01   2.925058E+00  -2.911909E+00  -8.629369E+00  -4.540180E+00  -3.595037E+00  -5.117669E+00  -2.000000E+00  -1.007492E+01  -1.000429E+01  -1.569135E+01  -1.646728E+01  -2.607903E+01  -2.215148E+01  -9.388925E+00  -5.929441E+00  -1.582352E+01  -6.635352E+00  -4.394469E+00  -5.169042E+00  -1.231445E+01  -1.105225E+01  -1.795398E+01  -8.548993E+00  -6.647747E+00  -9.637018E+00  -1.560535E+01  -2.644629E+01  -5.096279E+00  -8.340283E+00  -5.417133E+00  -7.442469E+00  -8.838263E+00
