# Time          1.0000E-01
    Distance         pH
  5.0000E-01    2.9238E+00
  1.5000E+00    2.9239E+00
  2.5000E+00    2.9241E+00
  3.5000E+00    2.9262E+00
  4.5000E+00    2.9340E+00
  5.5000E+00    2.9497E+00
  6.5000E+00    2.9770E+00
  7.5000E+00    3.0187E+00
  8.5000E+00    3.0769E+00
  9.5000E+00    3.1528E+00
  1.0500E+01    3.2469E+00
  1.1500E+01    3.3593E+00
  1.2500E+01    3.4895E+00
  1.3500E+01    3.6370E+00
  1.4500E+01    3.8010E+00
  1.5500E+01    3.9806E+00
  1.6500E+01    4.1747E+00
  1.7500E+01    4.3822E+00
  1.8500E+01    4.6022E+00
  1.9500E+01    4.8375E+00
  2.0500E+01    5.0969E+00
  2.1500E+01    5.3914E+00
  2.2500E+01    5.7442E+00
  2.3500E+01    6.2204E+00
  2.4500E+01    6.8085E+00
  2.5500E+01    7.1715E+00
  2.6500E+01    7.3435E+00
  2.7500E+01    7.4252E+00
  2.8500E+01    7.4645E+00
  2.9500E+01    7.4833E+00
  3.0500E+01    7.4924E+00
  3.1500E+01    7.4966E+00
  3.2500E+01    7.4986E+00
  3.3500E+01    7.4996E+00
  3.4500E+01    7.5000E+00
  3.5500E+01    7.5002E+00
  3.6500E+01    7.5003E+00
  3.7500E+01    7.5003E+00
  3.8500E+01    7.5003E+00
  3.9500E+01    7.5003E+00
  4.0500E+01    7.5003E+00
  4.1500E+01    7.5003E+00
  4.2500E+01    7.5003E+00
  4.3500E+01    7.5003E+00
  4.4500E+01    7.5003E+00
  4.5500E+01    7.5003E+00
  4.6500E+01    7.5003E+00
  4.7500E+01    7.5003E+00
  4.8500E+01    7.5003E+00
  4.9500E+01    7.5003E+00
  5.0500E+01    7.5003E+00
  5.1500E+01    7.5003E+00
  5.2500E+01    7.5003E+00
  5.3500E+01    7.5003E+00
  5.4500E+01    7.5003E+00
  5.5500E+01    7.5003E+00
  5.6500E+01    7.5003E+00
  5.7500E+01    7.5003E+00
  5.8500E+01    7.5003E+00
  5.9500E+01    7.5003E+00
  6.0500E+01    7.5003E+00
  6.1500E+01    7.5003E+00
  6.2500E+01    7.5003E+00
  6.3500E+01    7.5003E+00
  6.4500E+01    7.5003E+00
  6.5500E+01    7.5003E+00
  6.6500E+01    7.5003E+00
  6.7500E+01    7.5003E+00
  6.8500E+01    7.5003E+00
  6.9500E+01    7.5003E+00
  7.0500E+01    7.5003E+00
  7.1500E+01    7.5003E+00
  7.2500E+01    7.5003E+00
  7.3500E+01    7.5003E+00
  7.4500E+01    7.5003E+00
  7.5500E+01    7.5003E+00
  7.6500E+01    7.5003E+00
  7.7500E+01    7.5003E+00
  7.8500E+01    7.5003E+00
  7.9500E+01    7.5003E+00
  8.0500E+01    7.5003E+00
  8.1500E+01    7.5003E+00
  8.2500E+01    7.5003E+00
  8.3500E+01    7.5003E+00
  8.4500E+01    7.5003E+00
  8.5500E+01    7.5003E+00
  8.6500E+01    7.5003E+00
  8.7500E+01    7.5003E+00
  8.8500E+01    7.5003E+00
  8.9500E+01    7.5003E+00
  9.0500E+01    7.5003E+00
  9.1500E+01    7.5003E+00
  9.2500E+01    7.5003E+00
  9.3500E+01    7.5003E+00
  9.4500E+01    7.5003E+00
  9.5500E+01    7.5003E+00
  9.6500E+01    7.5003E+00
  9.7500E+01    7.5003E+00
  9.8500E+01    7.5003E+00
  9.9500E+01    7.5003E+00
