# Time          1.5000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   3.150000E+01   6.359807E-03   2.232070E-04   7.637411E-04   2.707778E-13   2.282419E-10   1.923880E-07   1.096378E-11   1.096378E-11   9.108393E-07   6.135882E-03   5.596259E-03
   3.250000E+01   6.359815E-03   2.322368E-04   7.918701E-04   2.598668E-13   2.190281E-10   1.846072E-07   1.051956E-11   1.051956E-11   9.093588E-07   6.126854E-03   5.568130E-03
   3.350000E+01   6.359830E-03   2.509674E-04   8.496740E-04   2.397375E-13   2.020088E-10   1.702177E-07   9.697036E-12   9.697036E-12   9.061011E-07   6.108126E-03   5.510326E-03
   3.450000E+01   6.359855E-03   2.926838E-04   9.754688E-04   2.041647E-13   1.719419E-10   1.448047E-07   8.244863E-12   8.244863E-12   8.989469E-07   6.066417E-03   5.384531E-03
   3.550000E+01   6.359896E-03   4.005007E-04   1.282570E-03   1.465521E-13   1.233141E-10   1.037608E-07   5.902746E-12   5.902746E-12   8.814278E-07   5.958618E-03   5.077430E-03
   3.650000E+01   6.359952E-03   7.995348E-04   2.232623E-03   6.849569E-14   5.758540E-11   4.841295E-08   2.751760E-12   2.751760E-12   8.210037E-07   5.559644E-03   4.127377E-03
   3.750000E+01   6.359990E-03   2.545024E-03   4.547849E-03   1.476359E-14   1.241209E-11   1.043512E-08   5.931303E-13   5.931303E-13   5.632912E-07   3.814413E-03   1.812151E-03
   3.850000E+01   6.359999E-03   5.325530E-03   6.047654E-03   1.913145E-15   1.608815E-12   1.352896E-09   7.691701E-14   7.691701E-14   1.528165E-07   1.034317E-03   3.123461E-04
   3.950000E+01   6.360000E-03   6.215213E-03   6.320841E-03   2.294386E-16   1.929801E-13   1.623150E-10   9.230058E-15   9.230058E-15   2.139723E-08   1.447657E-04   3.915890E-05
   4.050000E+01   6.360000E-03   6.341703E-03   6.355123E-03   2.841683E-17   2.390586E-14   2.011098E-11   1.143831E-15   1.143831E-15   2.705091E-09   1.829467E-05   4.877209E-06
   4.150000E+01   6.360000E-03   6.357616E-03   6.359366E-03   3.693584E-18   3.107832E-15   2.614972E-12   1.487567E-16   1.487567E-16   3.526178E-10   2.383885E-06   6.344746E-07
   4.250000E+01   6.360000E-03   6.359675E-03   6.359913E-03   5.039289E-19   4.240901E-16   3.569004E-13   2.030653E-17   2.030653E-17   4.814208E-11   3.253473E-07   8.658693E-08
   4.350000E+01   6.360000E-03   6.359953E-03   6.359988E-03   7.238282E-20   6.092599E-17   5.128255E-14   2.918345E-18   2.918345E-18   6.917776E-12   4.673395E-08   1.243947E-08
   4.450000E+01   6.360000E-03   6.359993E-03   6.359998E-03   1.122239E-20   9.447776E-18   7.953785E-15   4.527078E-19   4.527078E-19   1.072935E-12   7.245778E-09   1.928988E-09
   4.550000E+01   6.360000E-03   6.359999E-03   6.360000E-03   1.954003E-21   1.645303E-18   1.385372E-15   7.886547E-20   7.886547E-20   1.868815E-13   1.261611E-09   3.359278E-10
   4.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   4.487782E-22   3.779444E-19   3.182907E-16   1.812258E-20   1.812258E-20   4.293624E-14   2.897556E-10   7.716635E-11
   4.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.943311E-22   1.636868E-19   1.378747E-16   7.851555E-21   7.851555E-21   1.859879E-14   1.254708E-10   3.342056E-11
   4.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.505392E-22   1.268221E-19   1.068417E-16   6.085358E-21   6.085358E-21   1.441254E-14   9.719628E-11   2.589376E-11
   4.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.429625E-22   1.204597E-19   1.014989E-16   5.782039E-21   5.782039E-21   1.369183E-14   9.230439E-11   2.459472E-11
   5.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.416511E-22   1.193750E-19   1.006020E-16   5.731916E-21   5.731916E-21   1.357084E-14   9.145765E-11   2.437324E-11
   5.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.414228E-22   1.192027E-19   1.004738E-16   5.725583E-21   5.725583E-21   1.355355E-14   9.131026E-11   2.433808E-11
   5.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413810E-22   1.191876E-19   1.004781E-16   5.726790E-21   5.726790E-21   1.355412E-14   9.128329E-11   2.433500E-11
   5.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413710E-22   1.191992E-19   1.005048E-16   5.729278E-21   5.729278E-21   1.355772E-14   9.127680E-11   2.433737E-11
   5.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413661E-22   1.192152E-19   1.005352E-16   5.731976E-21   5.731976E-21   1.356182E-14   9.127366E-11   2.434063E-11
   5.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413615E-22   1.192314E-19   1.005658E-16   5.734690E-21   5.734690E-21   1.356596E-14   9.127068E-11   2.434394E-11
   5.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.413564E-22   1.192473E-19   1.005962E-16   5.737395E-21   5.737395E-21   1.357006E-14   9.126742E-11   2.434719E-11
